,date,age,gender,armed,race,city,state,flee,body_camera,signs_of_mental_illness,police_departments_involved,year
4028,2019-02-03,18.0,male,gun,White,Orange Park,FL,not,False,False,"Clay County Sheriff's Office, FL",2019.0
4029,2019-02-04,44.0,male,gun,Black,Farmville,VA,not,False,False,"Virginia State Police, VA",2019.0
4030,2019-02-04,80.0,male,gun,White,Clarksburg,WV,not,False,False,"Clarksburg Police Department, WV",2019.0
4031,2019-02-06,38.0,male,knife,Black,Joilet,IL,not,False,False,"Joliet Police Department, IL",2019.0
4032,2019-02-06,25.0,male,gun,White,Stone County,MS,car,True,False,"Mississippi Highway Patrol, MS",2019.0
4033,2019-02-06,43.0,male,gun,Black,Walter Hill,TN,not,False,True,"Rutherford County Sheriff's Department, TN",2019.0
4034,2019-02-06,48.0,male,knife,White,Edinburg,TX,not,False,True,"Edinburg Police Department, TX",2019.0
4036,2019-02-07,49.0,male,gun,White,Barberton,OH,not,False,False,"Barberton Police Department, OH",2019.0
4037,2019-02-07,40.0,male,gun,White,Memphis,TN,not,False,False,"Shelby County Sheriff's Office, TN",2019.0
4039,2019-02-07,38.0,male,unarmed,White,Snyder,TX,not,False,False,"Snyder Police Department, TX",2019.0
4040,2019-02-07,58.0,male,knife,White,Madera,CA,not,True,True,"Madera Police Department, CA",2019.0
4041,2019-02-07,34.0,male,knife,Hispanic,Seattle,WA,not,True,False,"Seattle Police Department, WA",2019.0
4042,2019-02-08,32.0,male,knife,Unknown,New York,NY,not,False,False,"New York Police Department, NY",2019.0
4043,2019-02-08,25.0,male,unarmed,White,Bakersfield,CA,not,False,False,"California Highway Patrol, CA",2019.0
4044,2019-02-09,25.0,male,gun,White,Del City,OK,not,False,False,"Del City Police Department, OK",2019.0
4045,2019-02-09,28.0,male,gun,Hispanic,Bailey,NC,not,True,False,"Nash County Sheriff's Department, NC",2019.0
4046,2019-02-09,57.0,male,knife,White,Virginia Beach,VA,not,False,True,"Virginia Beach Police Department, VA",2019.0
4047,2019-02-09,21.0,male,gun,Black,Vallejo,CA,not,True,False,"Vallejo Police Department, CA",2019.0
4048,2019-02-10,34.0,male,gun,Black,Greenville County,SC,not,True,True,"Greenville County Sheriff's Department, SC",2019.0
4049,2019-02-10,58.0,male,replica,White,Waukesha,WI,not,False,True,"Waukesha Police Department, WI",2019.0
4050,2019-02-11,32.0,male,gun,Asian,Redding,CA,foot,False,False,"Redding Police Deparment, CA",2019.0
4051,2019-02-11,24.0,male,gun,Black,Crestwood,KY,car,False,False,"Kentucky State Police, KY",2019.0
4052,2019-02-11,34.0,male,unarmed,White,Montgomery,WV,not,False,True,"Montgomery Police Department, WV",2019.0
4053,2019-02-12,46.0,male,gun,White,Fresno,CA,not,False,False,"Merced County Sheriff's Department, CA",2019.0
4054,2019-02-12,19.0,male,gun,Black,Cinco Ranch,TX,car,False,False,"Texas Department of Public Safety, TX",2019.0
4055,2019-02-12,20.0,male,gun,Black,Cinco Ranch,TX,car,False,False,"Texas Department of Public Safety, TX",2019.0
4056,2019-02-12,58.0,male,knife,Black,Defiance,OH,not,False,False,"Defiance Police Department, OH",2019.0
4057,2019-02-13,47.0,male,gun,White,Apex,NC,not,False,False,"Federal Bureau of Investigation, NC",2019.0
4058,2019-02-13,28.0,male,gun,White,Fairbanks,AK,not,False,False,"Fairbanks Police Department, AK",2019.0
4059,2019-02-14,37.40950678304764,male,gun,White,San Jose,CA,car,False,False,"San Jose Police Department, CA",2019.0
4060,2019-02-14,34.0,male,knife,White,Aspers,PA,not,False,False,"Pennsylvania State Police, PA",2019.0
4061,2019-02-14,47.0,male,knife,Hispanic,Los Angeles,CA,not,False,False,"Los Angeles Police Department, CA",2019.0
4062,2019-02-15,45.0,male,gun,Black,Aurora,IL,not,False,False,"Aurora Police Department, IL",2019.0
4063,2019-02-16,34.0,male,gun,Asian,Clinton,MS,not,False,False,"Clinton Police Department, MS",2019.0
4064,2019-02-16,17.0,male,gun,Black,Chicago,IL,car,False,False,"Chicago Police Department, IL",2019.0
4065,2019-02-17,32.0,male,gun,Black,New Orleans,LA,not,False,False,"New Orleans Police Department, LA",2019.0
4066,2019-02-17,37.0,female,gun,Unknown,Claiborne County,TN,foot,False,False,"Tennessee Highway Patrol, TN",2019.0
4067,2019-02-17,48.0,male,gun,Hispanic,Napa Valley,CA,not,True,False,"Napa Police Department, CA",2019.0
